model_name,batch_size,input_tokens,optimizer_name,experiment_type,memory_limit_MB,actual_peak_reserved_MB,predicted_peak_reserved_MB,actual_peak_allocated_MB,predicted_peak_allocated_MB,actual_fits,predicted_fits,correct_prediction,dangerous_failure,conservative_failure,outcome
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,1700,1726.0,1763.6171153906248,1616.21,1632.978810546875,False,False,True,False,False,correct
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,1725,1726.0,1763.6171153906248,1616.21,1632.978810546875,False,False,True,False,False,correct
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,1750,1726.0,1763.6171153906248,1616.21,1632.978810546875,True,False,False,False,True,conservative_overprediction
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,1800,1726.0,1763.6171153906248,1616.21,1632.978810546875,True,True,True,False,False,correct
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,2048,1726.0,1763.6171153906248,1616.21,1632.978810546875,True,True,True,False,False,correct
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,4096,1726.0,1763.6171153906248,1616.21,1632.978810546875,True,True,True,False,False,correct
distilgpt2,2,64,adamw,distilgpt2_batch_size_variation,8192,1726.0,1763.6171153906248,1616.21,1632.978810546875,True,True,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,512,1768.0,1936.401455390625,1648.43,1792.964310546875,False,False,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,768,1768.0,1936.401455390625,1648.43,1792.964310546875,False,False,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,1024,1768.0,1936.401455390625,1648.43,1792.964310546875,False,False,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,1200,1768.0,1936.401455390625,1648.43,1792.964310546875,False,False,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,1400,1768.0,1936.401455390625,1648.43,1792.964310546875,False,False,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,1500,1768.0,1936.401455390625,1648.43,1792.964310546875,False,False,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,1600,1768.0,1936.401455390625,1648.43,1792.964310546875,False,False,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,1700,1768.0,1936.401455390625,1648.43,1792.964310546875,False,False,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,1725,1768.0,1936.401455390625,1648.43,1792.964310546875,False,False,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,1750,1768.0,1936.401455390625,1648.43,1792.964310546875,False,False,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,1800,1768.0,1936.401455390625,1648.43,1792.964310546875,True,False,False,False,True,conservative_overprediction
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,2048,1768.0,1936.401455390625,1648.43,1792.964310546875,True,True,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,4096,1768.0,1936.401455390625,1648.43,1792.964310546875,True,True,True,False,False,correct
distilgpt2,4,64,adamw,distilgpt2_batch_size_variation,8192,1768.0,1936.401455390625,1648.43,1792.964310546875,True,True,True,False,False,correct
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,512,1030.0,1002.2861172656252,956.49,928.042701171875,False,False,True,False,False,correct
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,768,1030.0,1002.2861172656252,956.49,928.042701171875,False,False,True,False,False,correct
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,1024,1030.0,1002.2861172656252,956.49,928.042701171875,False,True,False,True,False,dangerous_underprediction
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,1200,1030.0,1002.2861172656252,956.49,928.042701171875,True,True,True,False,False,correct
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,1400,1030.0,1002.2861172656252,956.49,928.042701171875,True,True,True,False,False,correct
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,1500,1030.0,1002.2861172656252,956.49,928.042701171875,True,True,True,False,False,correct
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,1600,1030.0,1002.2861172656252,956.49,928.042701171875,True,True,True,False,False,correct
distilgpt2,1,64,sgd,distilgpt2_optimizer_comparison,1700,1030.0,1002.2861172656252,956.49,928.042701171875,True,True,True,False,False,correct
